Trecho;Longitude;Fase;1 Falha ;2 Falha ;3 Falha ;4 Falha;5 Falha;6 Falha;7 Falha;8 Falha ;9 Falha ;10 Falha ;11 Falha ;12 Falha ;13 Falha 
SE<=>MV-I-4;8576;B;4000;3000;8000;;;;;;;;;;
SE<=>MV-I-8;7212;A;2700;6000;5280;;;;;;;;;;
;7212;B;;665;200;802;;;;;;;;;
;7212;C;;;;;;;;;;;;;
SE<=>MV-I-12;5862;B;2450;;;;;;;;;;;;
;5862;C;4200;;;;;;;;;;;;
SE<=>MV-I-13;6253;B;3700;3700;3000;6000;2500;;;;;;;;
;6253;C;2800;2500;3000;;;;;;;;;;
SE<=>MV-II-4;3138;A;2207;2200;2300;2200;2237;1553;;;;;;;
;3138;B;713;;2500;;;;;;;;;;
SE<=>MV-II-5;3010;B;2345;;;;;;;;;;;;
SE<=>MV-II-9;4364;A;1600;1000;;;;;;;;;;;
;4364;B;;;;;;;;;;;;;
;4364;C;;;;;;;;;;;;;
SE<=>MV-II-12;6248;A;1780;1542;;;;;;;;;;;
;6248;B;1062;;;4113;3109;4012;3010;;2502;2502;2502;2502;2502
;6248;C;1800;;968;;;;;;;;;;
MV-III-7<=>SE;5253;A;;;;;;;;;;;;;
;5253;B;;3398;4585;588;;;;;;;;;
;5253;C;;;;;;;;;;;;;
SE<=>MV-III-3;3958;A;;1183;;;;;;;;;;;
;3958;B;;1389;1603;3267;3078;;3078;;;;;;
;3958;C;;;;;;;;;;;;;
MV-III-14<=>MV-III-13;457;B;;;;;;;;;;;;;
;457;C;;;;;;;;;;;;;
SE<=>MV-III-11;4061;C;;;;;;;;;;;;;
;4061;B;2300;2300;1900;;;;;;;;;;
MV-III-10<=>MV-III-2;2131;A;;;;;;;;;;;;;
;2131;B;;;;;;;;;;;;;
MV-III-2<=>MV-III-1;671;B;;;;;;;;;;;;;
SE<=>MV-IV-4;4439;B;4355;4050;;;;;;;;;;;
;4439;C;150;726;;;;;;;;;;;
SE<=>MV-IV-7;1776;A;1642;;;;;;;;;;;;
;1776;B;1642;;;;;;;;;;;;
MV-V-3<=>MV-V-2;467;A;447;;;;;;;;;;;;
;467;B;80;;;;;;;;;;;;
SE<=>MV-V-4;9085;A;;;;;;;;;;;;;
;9085;B;3728;;;;;;;;;;;;
;9085;C;3723;6072;;;;;;;;;;;
MV-V-6<=>MV-V-7;3234;A;;;;;;;;;;;;;
;3234;B;;;;;;;;;;;;;
;3234;C;2295;1591;;;;;;;;;;;
MV-V-7<=>MV-V-8;735;B;;;;;;;;;;;;;
SE<=>MV-V-8;5931;A;2249;2241;;;;;;;;;;;
;5931;B;2190;5708;3137;2053;1382;1755;;2079;APROVADO;APROVADO;APROVADO;APROVADO;APROVADO
;5931;C;4307;;;;;;;;;;;;
MV-VI-2<=>MV-VI-1;475;B;;;;;;;;;;;;;
MV-VI-2<=>MV-VI-3;487;B;21;467;22;22;;;;;;;;;
MV-VI-3<=>MV-VI-4;457;C;;15;19;;;;;;;;;;
SE<=>MV-VI-4;14002;A;11883;;;;;;;;;;;;
;14002;B;1865;8963;3695;;;;;;;;;;
;14002;C;;;;;;;;;;;;;
SE<=> MV-VI-8;12779;A;;;;;;;;;;;;;
;12779;B;11804;;;;;;;;;;;;
;12779;C;;;;;;;;;;;;;
SE<=>MV-VI-11;11341;A;4518;1525;;;;;;;;;;;
;11341;B;805;776;956;564;440;830;468;6666;753;Falta;FALTA;691;
;11341;C;9452;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
